date,close
2022-04-28,39743.22
2022-04-29,38593.1
2022-04-30,37644.1
2022-05-01,38473.05
2022-05-02,38510.89
2022-05-03,37719.59
2022-05-04,39669.56
2022-05-05,36537.22
2022-05-06,35999.1
2022-05-07,35458
2022-05-08,34027.91
2022-05-09,30078.27
2022-05-10,31002.39
2022-05-11,28972.34
2022-05-12,28941.95
2022-05-13,29232.18
2022-05-14,30041.88
2022-05-15,31290.05
2022-05-16,29839.89
2022-05-17,30412.12
2022-05-18,28672.94
2022-05-19,30274.59
2022-05-20,29155.75
2022-05-21,29408.26
2022-05-22,30260.87
2022-05-23,29082.52
2022-05-24,29626.44
2022-05-25,29503.49
2022-05-26,29166.06
2022-05-27,28598.31
2022-05-28,29008.99
2022-05-29,29447.07
2022-05-30,31711.42
2022-05-31,31784.05
2022-06-01,29788.79
2022-06-02,30433.75
2022-06-03,29670.85
2022-06-04,29843.18
2022-06-05,29901.54
2022-06-06,31343.61
2022-06-07,31106.9
2022-06-08,30177
2022-06-09,30079.62
2022-06-10,29063.11
2022-06-11,28388.63
2022-06-12,26555.2
2022-06-13,22460.97
2022-06-14,22120.25
2022-06-15,22562.33
2022-06-16,20372
2022-06-17,20447.86
2022-06-18,18948.89
2022-06-19,20552.44
2022-06-20,20549.75
2022-06-21,20696.96
2022-06-22,19968.46
2022-06-23,21104.45
2022-06-24,21223.72
2022-06-25,21478.04
2022-06-26,21027.92
2022-06-27,20725.17
2022-06-28,20252.89
2022-06-29,20094.79
2022-06-30,19985.62
2022-07-01,19252.76
2022-07-02,19224.03
2022-07-03,19291.33
2022-07-04,20211.35
2022-07-05,20153.51
2022-07-06,20542.67
2022-07-07,21614.6
2022-07-08,21582.2
2022-07-09,21583.99
2022-07-10,20850.65
2022-07-11,19942.43
2022-07-12,19303.65
2022-07-13,20220.23
2022-07-14,20577.02
2022-07-15,20827.55
2022-07-16,21189.68
2022-07-17,20791.74
2022-07-18,22427.56
2022-07-19,23395.06
2022-07-20,23226.99
2022-07-21,23153.96
2022-07-22,22687.68
2022-07-23,22450.69
2022-07-24,22583.43
2022-07-25,21313.41
2022-07-26,21261.57
2022-07-27,22962.59
2022-07-28,23851.7
2022-07-29,23784.5
2022-07-30,23650.13
2022-07-31,23307.44
2022-08-01,23273.86
2022-08-02,22989.4
2022-08-03,22825
2022-08-04,22623.94
2022-08-05,23320.81
2022-08-06,22960.93
2022-08-07,23177.39
2022-08-08,23815.65
2022-08-09,23158.27
2022-08-10,23962.18
2022-08-11,23944.86
2022-08-12,24415.18
2022-08-13,24456.49
2022-08-14,24316.71
2022-08-15,24097.82
2022-08-16,23857.93
2022-08-17,23341.17
2022-08-18,23189.46
2022-08-19,20834.94
2022-08-20,21139.23
2022-08-21,21518.62
2022-08-22,21398.25
2022-08-23,21528.34
2022-08-24,21367.12
2022-08-25,21561.86
2022-08-26,20240.72
2022-08-27,20036.69
2022-08-28,19554.03
2022-08-29,20286.97
2022-08-30,19813.17
2022-08-31,20048.26
2022-09-01,20133.65
2022-09-02,19953.74
2022-09-03,19835.47
2022-09-04,20004.73
2022-09-05,19794.58
2022-09-06,18790.91
2022-09-07,19293.52
2022-09-08,19321.87
2022-09-09,21364.5
2022-09-10,21651.52
2022-09-11,21831.72
2022-09-12,22402.71
2022-09-13,20174.78
2022-09-14,20227.77
2022-09-15,19703.67
2022-09-16,19801.04
2022-09-17,20113.37
2022-09-18,19417.64
2022-09-19,19540.38
2022-09-20,18876.91
2022-09-21,18462.64
2022-09-22,19401.25
2022-09-23,19286.01
2022-09-24,18923.2
2022-09-25,18808.61
2022-09-26,19228
2022-09-27,19077.57
2022-09-28,19412.07
2022-09-29,19595.57
2022-09-30,19426.11
2022-10-01,19315.27
2022-10-02,19059.17
2022-10-03,19633.46
2022-10-04,20345.19
2022-10-05,20161.62
2022-10-06,19965.64
2022-10-07,19533.05
2022-10-08,19419.39
2022-10-09,19443.47
2022-10-10,19132.83
2022-10-11,19058.11
2022-10-12,19155.92
2022-10-13,19378.65
2022-10-14,19178
2022-10-15,19070.24
2022-10-16,19264.44
2022-10-17,19550.4
2022-10-18,19328.76
2022-10-19,19124.18
2022-10-20,19042.48
2022-10-21,19166.45
2022-10-22,19209.1
2022-10-23,19572.44
2022-10-24,19330.41
2022-10-25,20086.28
2022-10-26,20775.4
2022-10-27,20296.97
2022-10-28,20597.91
2022-10-29,20823.53
2022-10-30,20630.68
2022-10-31,20489.94
2022-11-01,20479.63
2022-11-02,20151.4
2022-11-03,20206.88
2022-11-04,21144.2
2022-11-05,21300.45
2022-11-06,20909.17
2022-11-07,20593.49
2022-11-08,18550.25
2022-11-09,15891.96
